name,population,square_kms,population_density
Abaqulusi,214714,4184.63,51.31015167
Alfred Duma,339777,3764,90.27019129
Alfred Nzo,801344,10800.59213,74.19445067
Amahlathi,101035,4820.22,20.96066155
Amajuba,500615,6963.333221,71.89301217
Amathole,855793,21717.32609,39.40600221
Ba-Phalaborwa,150637,7461.65,20.18816214
Beaufort West,49586,21916.6,2.26248597
Bela-Bela,66500,3406.2,19.52322236
Bergrivier,61897,4407.04,14.04502796
Big Five Hlabisa,107147,3466,30.91373341
Bitou,49162,991.86,49.56546287
Blouberg,175085,9248.12,18.9319559
Blue Crane Route,36002,11068.6,3.252624541
Bojanala,1507505,18489.53363,81.53288396
Breede Valley,166825,3833.52,43.51744611
Buffalo City,781027,2535.93,307.9844475
Bushbuckridge,538593,10249.7,52.5471965
Cape Agulhas,33038,3466.6,9.530375584
Cape Winelands,787486,21587.34275,36.47906132
Capricorn,1261463,21905.34653,57.5869913
Cederberg,49768,8007.47,6.21519656
Central Karoo,71011,39073.08713,1.817389032
Chief Albert Luthuli,186010,5559.4,33.45864662
Chris Hani,806478,36360.22717,22.18022446
City of Cape Town,3740031,2439.78,1532.937806
City of Johannesburg,4434827,1644.98,2695.976243
City of Matlosana,398676,3561.46,111.9417318
City of Tshwane,2921488,6297.88,463.8843547
Collins Chabane,328636,5003,65.68778733
Dannhauser,102937,1515.91,67.90442704
Dawid Kruiper,100498,44231,2.272116841
Dihlabeng,128704,4879.96,26.37398667
Dikgatlong,46841,7314.72,6.403662751
Dipaleseng,42390,2616.56,16.20066041
Ditsobotla,166952,6464.87,25.82449454
Dr Beyers Naude,79292,28653,2.767319303
Dr JS Moroka,249705,1416.47,176.2868257
Dr Kenneth Kaunda,695933,14759.38921,47.15188346
Dr Nkosazana Dlamini Zuma,110084,3602,30.56191005
Dr Pixley Ka Isaka Seme,83235,104094.5854,0.7996093138
Dr Ruth Segomotsi Mompati,463815,44052.39039,10.52871356
Drakenstein,251262,1537.66,163.4054342
Eastern Cape,6562053,169309.8341,38.75766009
Eden,574265,23450.63926,24.48824502
eDumbe,82053,1942.76,42.23527353
Ehlanzeni,1688615,28136.99424,60.01405074
Ekurhuleni,3178470,1975.26,1609.140063
Elias Motsoaledi,249363,3713.33,67.15347141
Elundini,137039,5064.54,27.05852851
Emadlangeni,34442,3539.32,9.73124781
Emakhazeni,47216,4735.58,9.970478801
Emalahleni,395466,2677.61,147.6936522
Emalahleni,120758,3447.2,35.03074959
Emfuleni,721663,965.894,747.1451319
Emthanjeni,42356,13472.3,3.143932365
Endumeni,64862,1610.23,40.28120206
Engcobo,155513,2483.87,62.60915426
Enoch Mgijima,250776,13584,18.46113074
Ephraim Mogale,123648,2011.31,61.47635123
eThekwini,3476686,2291.31,1517.335498
Fezile Dabi,488036,20829.12015,23.43046641
Frances Baard,382086,12930.93473,29.54821194
Free State,2745590,130011.4865,21.11805713
Ga-Segonyana,93651,4491.64,20.85006813
Gamagara,41617,2619.42,15.88786831
Gauteng,12272263,18182.4923,674.9494402
George,193672,5191.01,37.30911711
Gert Sibande,1043194,32097.27322,32.5010163
Govan Mbeki,294538,2954.69,99.68490772
Great Kei,30832,1735.99,17.76047097
Greater Giyani,244217,4171.61,58.54262503
Greater Kokstad,65981,2679.82,24.6214298
Greater Letaba,212701,1890.89,112.4872415
Greater Taung,177642,5635.47,31.52212681
Greater Tubatse/Fetakgomo,428948,5693,75.34656596
Greater Tzaneen,389623,3242.58,120.1583307
Hantam,21684,36128.1,0.6001976301
Hessequa,52642,5733.49,9.181493296
iLembe,606809,3292.259213,184.3138589
Impendle,30382,1528.19,19.88103574
Inkosi Langalibalele,196227,3399,57.73080318
Intsika Yethu,151587,2711.14,55.91264191
Inxuba Yethemba,65560,11662.7,5.621339827
Joe Gqabi,348667,25825.64997,13.50080251
Joe Morolong,89530,20172,4.438330359
John Taolo Gaetsewe,224799,27498.91372,8.174832006
Jozini,186502,3442.25,54.18026
Kagisano/Molopo,105789,23827.3,4.439823228
Kai Garib,65869,26358,2.499013582
Kamiesberg,10187,14210.2,0.7168794246
Kannaland,24767,4758.08,5.205250857
Kareeberg,11673,17702,0.659417015
Karoo Hoogland,12501,32273.9,0.3873408544
Kgatelopele,18687,2477.93,7.541375261
Kgetlengrivier,51049,3973.12,12.84859254
Khâi-Ma,12446,16627.9,0.7485010134
Kheis,16637,11107.5,1.49781679
King Sabata Dalindyebo,450287,3027.37,148.7386742
Knysna,68659,1108.77,61.92357297
Kopanong,49171,15645.1,3.142900972
Kou-Kamma,40663,3642.02,11.16495791
Kouga,98558,2669.82,36.91559731
KwaDukuza,231187,734.978,314.5495511
KwaZulu-Natal,10267300,94451.0198,108.70502
Laingsburg,8289,8784.48,0.9435959784
Langeberg,97724,4517.7,21.63136109
Lejweleputswa,624746,32168.02984,19.42133239
Lekwa,115662,4585.19,25.22512698
Lekwa-Teemane,53248,3681.2,14.46484842
Lepele-Nkumpi,231239,3463.45,66.76550838
Lephalale,118864,13784.2,8.62320628
Lesedi,99520,1484.39,67.04437513
Letsemeng,38628,9828.58,3.930170991
Limpopo,5404868,125806.0524,42.96190761
Local Municipality of Madibeng,475796,3839.21,123.9307045
Mafikeng,291527,3698.44,78.82431512
Mafube,57876,3971.36,14.57334515
Magareng,24204,1541.67,15.69985795
Makana,80390,4375.63,18.37221154
Makhado,401445,8299.7,48.36861573
Makhuduthamaga,274880,2096.6,131.1075074
Maluti a Phofung,335784,4337.67,77.41114469
Mamusa,60355,3614.84,16.6964513
Mandeni,138078,545.481,253.1307232
Mangaung,775184,6283.99,123.3585668
Mantsopa,51056,4290.59,11.89952897
Maphumulo,96724,895.909,107.9618577
Maquassi Hills,77794,4643.05,16.7549348
Maruleng,95328,3244.3,29.38322597
Masilonyana,59895,6796.09,8.8131558
Matatiele,203843,4352.31,46.83558846
Matjhabeng,407020,5155.46,78.94930811
Matzikama,67147,12981.4,5.172554578
Mbhashe,261773,3169.45,82.59256338
Mbizana,281905,2416.72,116.6477705
Mbombela,658604,5394.43,122.0896369
Merafong City,197520,1630.54,121.1377826
Metsimaholo,149108,1717.1,86.83710908
Mfolozi,133161,1209.98,110.0522323
Mhlontlo,190751,2826.09,67.496435
Midvaal,95301,1722.48,55.3277832
Mkhambathini,54933,890.876,61.66178009
Mkhondo,171982,4882.17,35.22654885
Mnquma,245526,3270.24,75.07889329
Modimolle/Mookgophong,104153,10367,10.04659014
Mogalakwena,304585,6166.06,49.39702176
Mogale City,362422,1342.16,270.0289086
Mohokare,34146,8775.98,3.890847518
Molemole,126506,3347.33,37.79310674
Mopani,1092507,20193.31667,54.10240516
Moqhaka,160532,7924.56,20.25752849
Moretele,188533,1378.74,136.7429682
Moses Kotane,242554,5726,42.36011177
Mossel Bay,89430,2010.83,44.47417236
Mpofana,34913,1819.79,19.18518071
Mpumalanga,4039939,76544.3039,52.77909386
Msinga,169145,2501.14,67.62716201
Msukaligwa,149377,6015.67,24.83131555
Mthonjaneni,83563,1085.97,76.94779782
Mtubatuba,175425,1969.84,89.05545628
Musina,104655,7576.83,13.8125047
Nala,81220,4128.8,19.67157528
Naledi,66781,6941.19,9.620972773
Nama Khoi,47041,17988.6,2.615045084
Namakwa,115842,127663.2687,0.9074027414
Ndlambe,61176,1840.63,33.23644622
Ndwedwe,140820,1092.89,128.851028
Nelson Mandela Bay,1152115,1958.91,588.1408538
Newcastle,363236,1855.29,195.7839475
Ngaka Modiri Molema,842699,28440.78668,29.62994693
Ngqushwa,65248,2240.91,29.11674275
Ngquza Hill,278481,2476.83,112.4344424
Ngwathe,120520,7055.01,17.0828957
Nkandla,114416,1827.58,62.60519375
Nkangala,1308129,16899.21865,77.40766168
Nketoana,60324,5611.12,10.75079485
Nkomazi,393030,4786.97,82.1041285
